Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Explorations in Economic History,Explorations in Economic History
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Explorations in Economic History,Explorations in Economic History
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Explorations in Economic History,Explorations in Economic History
Neptune,Icarus,Icarus,Endeavour,Chinese Astronomy and Astrophysics,Chinese Astronomy and Astrophysics
Frédéric_Chopin,Progress in Brain Research,Progress in Brain Research,Journal of Historical Geography,Public Relations Review,Public Relations Review
Buddhism,Religion,Religion,Research in International Business and Finance,International Journal of Disaster Risk Reduction,International Journal of Disaster Risk Reduction
Muammar_Gaddafi,Undetermined,World Development,Communist and Post-Communist Studies,World Development,World Development
Athanasius_of_Alexandria,Journal of Medieval History,Journal of Medieval History,Public Relations Review,European Journal of Political Economy,European Journal of Political Economy
Catalan_language,Undetermined,Journal of Medieval History,Marine Policy,Powder Technology,Powder Technology
Avicenna,International Journal of Cardiology,International Journal of Cardiology,Morphologie,The American Journal of the Medical Sciences,The American Journal of the Medical Sciences
Windows_8,Digital Investigation,Digital Investigation,The Journal of Academic Librarianship,Computers & Security,Computers & Security
Dialect,Language & Communication,Language & Communication,Communist and Post-Communist Studies,Language Sciences,Language Sciences
Post-punk,Undetermined,Epilepsy & Behavior,Epilepsy & Behavior,Russian Literature,Russian Literature
Hunter-gatherer,Quaternary International,Quaternary International,Quaternary International,Land Use Policy,Land Use Policy
Modern_history,Orbis,Orbis,International Review of Law and Economics,International Review of Law and Economics,International Review of Law and Economics
Computer_security,Journal of Information Security and Applications,Journal of Information Security and Applications,New Scientist,Physica A: Statistical Mechanics and its Applications,Physica A: Statistical Mechanics and its Applications
Police,International Journal of Law  Crime and Justice,International Journal of Law  Crime and Justice,Biometric Technology Today,Computer Law & Security Review,International Journal of Law and Psychiatry
Late_Middle_Ages,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,History of European Ideas,History of European Ideas
Cubism,Undetermined,Poetics,New Scientist,Microchemical Journal,Microchemical Journal
Zhejiang,Undetermined,Journal of Archaeological Science,New Scientist,The Social Science Journal,Pacific-Basin Finance Journal
Alfred_North_Whitehead,Undetermined,European Management Journal,Advances in Applied Mathematics,European Management Journal,European Management Journal
Religion_in_ancient_Rome,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Journal of Investigative Dermatology Symposium Proceedings
Comics,The Journal of Academic Librarianship,The Journal of Academic Librarianship,Annales de Chirurgie de la Main,Serials Review,Serials Review
Federalism,Undetermined,Communist and Post-Communist Studies,The Journal of Socio-Economics,Explorations in Economic History,Explorations in Economic History
Estonia,Journal of Historical Geography,Journal of Historical Geography,Teaching and Teacher Education,Teaching and Teacher Education,Teaching and Teacher Education
Qing_dynasty,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Archaeological Research in Asia,Orbis,Journal of Historical Geography
Protestantism,Journal of Medieval History,Journal of Medieval History,World Development,Encyclopedia of Applied Ethics,Encyclopedia of Applied Ethics
High-definition_television,Undetermined,Telecommunications Policy,Telecommunications Policy,Journal of Atmospheric and Solar-Terrestrial Physics,Journal of Atmospheric and Solar-Terrestrial Physics
House_music,Poetics,Poetics,Government Information Quarterly,Applied Ocean Research,Applied Ocean Research
Annelid,Encyclopedia of Biodiversity,Encyclopedia of Biodiversity,Tissue and Cell,Progress in Brain Research,Progress in Brain Research
Antarctica,Undetermined,Polar Science,New Scientist,Journal of Petroleum Science and Engineering,Journal of Petroleum Science and Engineering
Ottoman_Empire,Journal of Historical Geography,Journal of Historical Geography,Communist and Post-Communist Studies,Political Geography,Political Geography
YouTube,Information Economics and Policy,Information Economics and Policy,Information Economics and Policy,Computers in Human Behavior,Computers in Human Behavior
Anthropology,Undetermined,International Encyclopedia of the Social & Behavioral Sciences,Endeavour,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Biodiversity,Undetermined,Earth-Science Reviews,Current Biology,Earth-Science Reviews,Earth-Science Reviews
Uranium,Undetermined,Ore Geology Reviews,Ore Geology Reviews,Progress in Nuclear Energy,Progress in Nuclear Energy
Mexico_City,Undetermined,Geoforum,Computers  Environment and Urban Systems,Journal of Historical Geography,Journal of Historical Geography
Literature,Undetermined,Russian Literature,Russian Literature,Russian Literature,Russian Literature
Bermuda,Marine Policy,Marine Policy,Communist and Post-Communist Studies,Political Geography,Political Geography
Mandolin,Australasian Marketing Journal (AMJ),Australasian Marketing Journal (AMJ),Journal of Medieval History,Applied Acoustics,Applied Acoustics
Paper,Journal of Cleaner Production,Journal of Cleaner Production,Medical Hypotheses,Aquaculture,Aquaculture
Richard_Feynman,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Nuclear Physics B,Chaos  Solitons & Fractals,Chaos  Solitons & Fractals
Han_dynasty,Undetermined,Archaeological Research in Asia,Archaeology  Ethnology and Anthropology of Eurasia,Archaeological Research in Asia,Archaeological Research in Asia
Antenna_(radio),AEU - International Journal of Electronics and Communications,AEU - International Journal of Electronics and Communications,Acta Astronautica,Advances in Space Research,Advances in Space Research
Greeks,Undetermined,Orbis,Public Relations Review,Orbis,Orbis
Roman_Republic,Journal of Medieval History,Journal of Medieval History,Encyclopedia of Archaeology,Encyclopedia of Archaeology,Encyclopedia of Archaeology
Dog,Research in Veterinary Science,Research in Veterinary Science,Encyclopedia of Animal Behavior,Space Policy,Space Policy
Architecture,Undetermined,Studies in History and Philosophy of Science Part A,Journal of Archaeological Science: Reports,Journal of Archaeological Science: Reports,Explorations in Economic History
Sexual_orientation,Sexologies,Sexologies,Annals of Tourism Research,Sexologies,Sexologies
Multiracial_American,Undetermined,Social Science Research,New Scientist,Journal of Anthropological Archaeology,Journal of Anthropological Archaeology
Electric_motor,Control Engineering Practice,Control Engineering Practice,Aerospace Science and Technology,IFAC-PapersOnLine,IFAC-PapersOnLine
Switzerland,Undetermined,International Encyclopedia of the Social & Behavioral Sciences,Research in International Business and Finance,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
