Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,History of European Ideas
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,History of European Ideas
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,History of European Ideas,History of European Ideas
Neptune,Icarus,Icarus,Planetary and Space Science,New Scientist,New Scientist
Frédéric_Chopin,Progress in Brain Research,Progress in Brain Research,Journal of Historical Geography,Public Relations Review,Public Relations Review
Buddhism,Religion,Religion,International Encyclopedia of the Social & Behavioral Sciences,Annals of Tourism Research,Evidence-Based Validation of Herbal Medicine
Muammar_Gaddafi,Orbis,Orbis,Communist and Post-Communist Studies,Economic Modelling,Economic Modelling
Athanasius_of_Alexandria,Journal of Medieval History,Journal of Medieval History,History of European Ideas,European Journal of Political Economy,Survey of Ophthalmology
Catalan_language,Language & Communication,Language & Communication,Marine Policy,Public Relations Review,Public Relations Review
Avicenna,International Journal of Cardiology,International Journal of Cardiology,Morphologie,Morphologie,Learning and Instruction
Windows_8,Digital Investigation,Digital Investigation,The Journal of Academic Librarianship,Computer Law & Security Review,Computer Law & Security Review
Dialect,Language & Communication,Language & Communication,Communist and Post-Communist Studies,Russian Literature,Russian Literature
Post-punk,Undetermined,Geoforum,Epilepsy & Behavior,Journal of Retailing and Consumer Services,Journal of Retailing and Consumer Services
Hunter-gatherer,Quaternary International,Quaternary International,Quaternary International,Journal of Archaeological Science,Land Use Policy
Modern_history,Undetermined,Communist and Post-Communist Studies,International Review of Law and Economics,Journal of Banking & Finance,Journal of Banking & Finance
Computer_security,Computers & Security,Computers & Security,Network Security,International Journal of Critical Infrastructure Protection,International Journal of Critical Infrastructure Protection
Police,International Journal of Law  Crime and Justice,International Journal of Law  Crime and Justice,Biometric Technology Today,Habitat International,Habitat International
Late_Middle_Ages,Journal of Medieval History,Journal of Medieval History,Vistas in Astronomy,Microchemical Journal,Microchemical Journal
Cubism,Poetics,Poetics,New Scientist,New Scientist,New Scientist
Zhejiang,Undetermined,Renewable and Sustainable Energy Reviews,New Scientist,The Social Science Journal,Encyclopedia of the Anthropocene
Alfred_North_Whitehead,Progress in Biophysics and Molecular Biology,Progress in Biophysics and Molecular Biology,Advances in Applied Mathematics,Landmark Writings in Western Mathematics 1640-1940,Landmark Writings in Western Mathematics 1640-1940
Religion_in_ancient_Rome,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,Journal of Investigative Dermatology Symposium Proceedings,Journal of Investigative Dermatology Symposium Proceedings
Comics,The Journal of Academic Librarianship,The Journal of Academic Librarianship,The Journal of Academic Librarianship,Serials Review,Serials Review
Federalism,Communist and Post-Communist Studies,Communist and Post-Communist Studies,International Review of Law and Economics,Explorations in Economic History,Explorations in Economic History
Estonia,Journal of Historical Geography,Journal of Historical Geography,Teaching and Teacher Education,Teaching and Teacher Education,Teaching and Teacher Education
Qing_dynasty,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Archaeological Research in Asia,Journal of Integrative Medicine,Orbis
Protestantism,Journal of Medieval History,Journal of Medieval History,The Social Science Journal,International Journal of Educational Development,International Journal of Educational Development
High-definition_television,Undetermined,Telematics and Informatics,Telematics and Informatics,Journal of Atmospheric and Solar-Terrestrial Physics,Journal of Atmospheric and Solar-Terrestrial Physics
House_music,Poetics,Poetics,Business Horizons,Business Horizons,Business Horizons
Annelid,Encyclopedia of Biodiversity,Encyclopedia of Biodiversity,Encyclopedia of Reproduction,Advances in Parasitology,Advances in Parasitology
