Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Neptune,Icarus,Icarus,Icarus,Journal of Atmospheric and Solar-Terrestrial Physics,Journal of Atmospheric and Solar-Terrestrial Physics
Frédéric_Chopin,Progress in Brain Research,Progress in Brain Research,Encyclopedia of Creativity,Encyclopedia of Language & Linguistics,Public Relations Review
Buddhism,Religion,Religion,International Encyclopedia of the Social & Behavioral Sciences,Annals of Tourism Research,Quaternary International
Muammar_Gaddafi,Orbis,Orbis,Communist and Post-Communist Studies,Habitat International,Habitat International
Athanasius_of_Alexandria,Journal of Medieval History,Journal of Medieval History,History of European Ideas,Womens Studies International Forum,Encyclopedia of Language & Linguistics
Catalan_language,Lingua,Lingua,Orbis,Orbis,Orbis
Avicenna,International Journal of Cardiology,International Journal of Cardiology,Morphologie,Learning and Instruction,Learning and Instruction
Windows_8,Digital Investigation,Digital Investigation,Digital Investigation,Procedia Computer Science,Human Movement Science
Dialect,Language & Communication,Language & Communication,Communist and Post-Communist Studies,Encyclopedia of Language & Linguistics,Encyclopedia of Language & Linguistics
Post-punk,Geoforum,Geoforum,Journal of Business Research,Journal of Business Research,Journal of Business Research
Hunter-gatherer,Quaternary International,Quaternary International,Quaternary International,Land Use Policy,Land Use Policy
Modern_history,Communist and Post-Communist Studies,Communist and Post-Communist Studies,International Review of Law and Economics,Journal of Banking & Finance,Journal of Banking & Finance
Computer_security,Computers & Security,Computers & Security,Network Security,Advances in Computers,Advances in Computers
Police,International Journal of Law  Crime and Justice,International Journal of Law  Crime and Justice,Biometric Technology Today,Revue Neurologique,Revue Neurologique
Late_Middle_Ages,Journal of Medieval History,Journal of Medieval History,Journal of Medieval History,The Social Science Journal,The Social Science Journal
Cubism,Poetics,Poetics,Advances in Psychology,New Scientist,New Scientist
Zhejiang,Habitat International,Habitat International,New Scientist,Encyclopedia of the Anthropocene,Encyclopedia of the Anthropocene
Alfred_North_Whitehead,Progress in Biophysics and Molecular Biology,Progress in Biophysics and Molecular Biology,New Scientist,New Scientist,New Scientist
Religion_in_ancient_Rome,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,Journal of Investigative Dermatology Symposium Proceedings,Journal of Investigative Dermatology Symposium Proceedings
Comics,The Journal of Academic Librarianship,The Journal of Academic Librarianship,The Journal of Academic Librarianship,Annales de Chirurgie de la Main,Annales de Chirurgie de la Main
Federalism,Undetermined,Communist and Post-Communist Studies,World Patent Information,History of European Ideas,History of European Ideas
Estonia,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Marine Policy,Marine Policy
Qing_dynasty,Archaeological Research in Asia,Archaeological Research in Asia,Archaeological Research in Asia,Forest Ecology and Management,Archaeology  Ethnology and Anthropology of Eurasia
Protestantism,Journal of Medieval History,Journal of Medieval History,Public Relations Review,The Social Science Journal,The Social Science Journal
High-definition_television,Undetermined,Telecommunications Policy,Telematics and Informatics,Journal of Atmospheric and Solar-Terrestrial Physics,Journal of Atmospheric and Solar-Terrestrial Physics
House_music,Poetics,Poetics,The Electricity Journal,Journal of Business Research,Journal of Business Research
Annelid,Encyclopedia of Biodiversity,Encyclopedia of Biodiversity,Encyclopedia of Reproduction,Advances in Parasitology,Advances in Parasitology
Antarctica,Marine Pollution Bulletin,Marine Pollution Bulletin,Vistas in Astronomy,Journal of Petroleum Science and Engineering,Journal of Petroleum Science and Engineering
Ottoman_Empire,Journal of Historical Geography,Journal of Historical Geography,The History of the Family,Political Geography,Political Geography
YouTube,Information Economics and Policy,Information Economics and Policy,Information Economics and Policy,Computer Fraud & Security,Computer Fraud & Security
Anthropology,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Endeavour,Endeavour,Explorations in Economic History
Biodiversity,Biological Conservation,Biological Conservation,Comptes Rendus Geoscience,Journal of African Earth Sciences,Journal of African Earth Sciences
Uranium,Ore Geology Reviews,Ore Geology Reviews,Communist and Post-Communist Studies,Annals of Nuclear Energy,Annals of Nuclear Energy
Mexico_City,Best Practice & Research Clinical Obstetrics & Gynaecology,Best Practice & Research Clinical Obstetrics & Gynaecology,Studies in History and Philosophy of Science Part A,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Literature,Russian Literature,Russian Literature,Encyclopedia of Creativity,Journal of Archaeological Science: Reports,Journal of Archaeological Science: Reports
Bermuda,Undetermined,Journal of Historical Geography,Orbis,Journal of Archaeological Science,Journal of Archaeological Science
Mandolin,Australasian Marketing Journal (AMJ),Australasian Marketing Journal (AMJ),Journal of Medieval History,Scandinavian Journal of Management,Scandinavian Journal of Management
Paper,Carbohydrate Polymers,Carbohydrate Polymers,Journal of Building Engineering,Polymer Science: A Comprehensive Reference,Polymer Science: A Comprehensive Reference
Richard_Feynman,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Acta Astronautica,Nuclear Physics B - Proceedings Supplements,Physics Letters B
Han_dynasty,Journal of Medieval History,Journal of Medieval History,Journal of Medieval History,Archaeology  Ethnology and Anthropology of Eurasia,Archaeology  Ethnology and Anthropology of Eurasia
Antenna_(radio),Undetermined,AEU - International Journal of Electronics and Communications,Procedia Computer Science,Procedia Computer Science,Journal of Cleaner Production
Greeks,Orbis,Orbis,New Scientist,Geoforum,European Journal of Political Economy
Roman_Republic,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Encyclopedia of Archaeology,Mental Health & Prevention,Social Science & Medicine
Dog,Undetermined,Journal of Anthropological Archaeology,Geoforum,Environmental Research,Environmental Research
Architecture,Frontiers of Architectural Research,Frontiers of Architectural Research,Studies in History and Philosophy of Science Part A,Womens Studies International Forum,Womens Studies International Forum
