Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Middle_Ages,Journal of Medieval History,Journal of Medieval History,Economic Modelling,Orbis,Orbis
Neptune,Icarus,Icarus,Planetary and Space Science,Advances in Space Research,Advances in Space Research
Frédéric_Chopin,Progress in Brain Research,Progress in Brain Research,Encyclopedia of Creativity,Public Relations Review,Public Relations Review
Buddhism,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Annals of Tourism Research,Evidence-Based Validation of Herbal Medicine
Muammar_Gaddafi,Orbis,Orbis,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Communist and Post-Communist Studies
Athanasius_of_Alexandria,Journal of Medieval History,Journal of Medieval History,History of European Ideas,European Journal of Political Economy,Survey of Ophthalmology
Catalan_language,Lingua,Lingua,Marine Policy,Public Relations Review,Public Relations Review
Avicenna,International Journal of Cardiology,International Journal of Cardiology,Morphologie,Learning and Instruction,Learning and Instruction
Windows_8,Digital Investigation,Digital Investigation,The Journal of Academic Librarianship,Computer Law & Security Review,Computer Law & Security Review
Dialect,Language & Communication,Language & Communication,Communist and Post-Communist Studies,Russian Literature,Journal of Phonetics
Post-punk,Undetermined,City  Culture and Society,Epilepsy & Behavior,Journal of Retailing and Consumer Services,Journal of Retailing and Consumer Services
Hunter-gatherer,Quaternary International,Quaternary International,Quaternary International,Journal of Archaeological Science,Land Use Policy
Modern_history,Communist and Post-Communist Studies,Communist and Post-Communist Studies,International Review of Law and Economics,Journal of Banking & Finance,Journal of Banking & Finance
Computer_security,Computers & Security,Computers & Security,Network Security,International Journal of Human-Computer Studies,International Journal of Human-Computer Studies
Police,International Journal of Law  Crime and Justice,International Journal of Law  Crime and Justice,Biometric Technology Today,Habitat International,Habitat International
Late_Middle_Ages,Journal of Medieval History,Journal of Medieval History,Journal of Medieval History,The Social Science Journal,The Social Science Journal
Cubism,Poetics,Poetics,New Scientist,New Scientist,New Scientist
Zhejiang,Habitat International,Habitat International,New Scientist,The Social Science Journal,Encyclopedia of the Anthropocene
Alfred_North_Whitehead,Progress in Biophysics and Molecular Biology,Progress in Biophysics and Molecular Biology,New Scientist,New Scientist,New Scientist
Religion_in_ancient_Rome,Journal of Medieval History,Journal of Medieval History,International Encyclopedia of the Social & Behavioral Sciences,Journal of Investigative Dermatology Symposium Proceedings,Journal of Investigative Dermatology Symposium Proceedings
Comics,The Journal of Academic Librarianship,The Journal of Academic Librarianship,The Journal of Academic Librarianship,Comptes Rendus Geoscience,Comptes Rendus Geoscience
Federalism,Communist and Post-Communist Studies,Communist and Post-Communist Studies,International Review of Law and Economics,Explorations in Economic History,Explorations in Economic History
Estonia,Undetermined,Communist and Post-Communist Studies,Teaching and Teacher Education,Land Use Policy,Land Use Policy
Qing_dynasty,Communist and Post-Communist Studies,Communist and Post-Communist Studies,Archaeological Research in Asia,Journal of Integrative Medicine,Orbis
Protestantism,Journal of Medieval History,Journal of Medieval History,The Social Science Journal,World Development,World Development
High-definition_television,Telematics and Informatics,Telematics and Informatics,Telematics and Informatics,Journal of Atmospheric and Solar-Terrestrial Physics,Journal of Atmospheric and Solar-Terrestrial Physics
House_music,Poetics,Poetics,The Electricity Journal,Business Horizons,Journal of Business Research
Annelid,Encyclopedia of Biodiversity,Encyclopedia of Biodiversity,Encyclopedia of Reproduction,Advances in Parasitology,Advances in Parasitology
Antarctica,Ecosystem Services,Ecosystem Services,New Scientist,Journal of Petroleum Science and Engineering,Journal of Petroleum Science and Engineering
Ottoman_Empire,Journal of Historical Geography,Journal of Historical Geography,Communist and Post-Communist Studies,Political Geography,Political Geography
YouTube,Information Economics and Policy,Information Economics and Policy,Information Economics and Policy,Computer Networks,Future Generation Computer Systems
Anthropology,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences,Endeavour,Endeavour,Annals of Tourism Research
Biodiversity,Biological Conservation,Biological Conservation,Ecological Complexity,Trends in Ecology & Evolution,Journal of African Earth Sciences
Uranium,Ore Geology Reviews,Ore Geology Reviews,Communist and Post-Communist Studies,Annals of Nuclear Energy,Annals of Nuclear Energy
Mexico_City,Best Practice & Research Clinical Obstetrics & Gynaecology,Best Practice & Research Clinical Obstetrics & Gynaecology,Studies in History and Philosophy of Science Part A,Journal of Air Transport Management,Journal of Air Transport Management
Literature,Russian Literature,Russian Literature,Encyclopedia of Creativity,International Encyclopedia of the Social & Behavioral Sciences,International Encyclopedia of the Social & Behavioral Sciences
Bermuda,Journal of Historical Geography,Journal of Historical Geography,Orbis,Political Geography,Political Geography
Mandolin,Australasian Marketing Journal (AMJ),Australasian Marketing Journal (AMJ),Journal of Medieval History,Scandinavian Journal of Management,Scandinavian Journal of Management
Paper,Undetermined,Journal of Cleaner Production,Medical Hypotheses,Polymer Science: A Comprehensive Reference,Polymer Science: A Comprehensive Reference
Richard_Feynman,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,Nuclear Physics B,New Scientist,New Scientist
Han_dynasty,Journal of Medieval History,Journal of Medieval History,Archaeology  Ethnology and Anthropology of Eurasia,Journal of Marine and Island Cultures,Journal of Marine and Island Cultures
Antenna_(radio),Undetermined,AEU - International Journal of Electronics and Communications,Procedia Computer Science,Procedia Computer Science,Advances in Space Research
Greeks,Orbis,Orbis,New Scientist,Geoforum,International Journal of Hospitality Management
Roman_Republic,Journal of Medieval History,Journal of Medieval History,Encyclopedia of Archaeology,Encyclopedia of Archaeology,Encyclopedia of Archaeology
Dog,Applied Animal Behaviour Science,Applied Animal Behaviour Science,Encyclopedia of Animal Behavior,Encyclopedia of Animal Behavior,Seminars in Cell & Developmental Biology
Architecture,Studies in History and Philosophy of Science Part A,Studies in History and Philosophy of Science Part A,Studies in History and Philosophy of Science Part A,New Scientist,International Encyclopedia of Human Geography
